ID_sampling_plot	ID_study_plot	Forest_type	Sampling_year	Siteur	Physib	Phycol	Phytro	Erirub	Spispi	Drymar	Coccoc	Turvis	Turphi	Colpal	Pyrpyr	Turmer	Regreg	Regign	Corcor	Loxcur	Sylatr	Fricoe	Prumod	Phopho	Gargla	Denmaj	Trotro	Parmaj	Cyacae	Perate	Cerfam	Stuvul	Ficpar	Anttri	Sylbor	Embcit	Poepal	Lopcri	Cerbra	Coloen	Ficalb	Musstr	Nuccar	Denleu	Total_num_of_species	Specialist_species	Generalist_species	Elevation	Broadl_cover	Conifer_cover	Young_cover	AgeWMean	Age_SD	H_Trees	ClearCutDist	NumLT70DBH	NumBroadlLT70DBH	NumBroadlLT70DBH_ha	DensityNumBroadlLT70DBH_ha
11B	ID11	Production_forest	2020	1	0	1	0	3	0	0	0	0	0	1	0	0	1	1	0	0	1	2	0	0	0	1	1	2	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	14	6	13	584	45.1	53.8	0.0	76.0	24.3	0.6	153.3	21	21	D3<>9	6.7
11C	ID11	Production_forest	2020	1	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	3	10	562	34.5	65.4	0.0	50.9	37.2	1.0	147.8	7	5	C1<>3	1.6
11D	ID11	Production_forest	2020	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	5	0	3	0	0	0	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	13	7	593	0.3	92.5	3.3	83.2	39.8	0.4	78.2	2	1	B 0<>1	0.3
11M	ID11	Production_forest	2020	1	0	1	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	9	585	0.5	95.3	0.0	87.0	0.0	0.2	37.4	1	0	A=0	0.0
11M1	ID11	Production_forest	2020	0	0	0	0	2	3	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	5	591	0.5	98.2	0.0	79.8	37.0	0.3	139.9	1	0	A=0	0.0
11S2	ID11	Production_forest	2020	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	7	545	36.2	63.7	0.0	55.9	12.7	0.9	288.0	1	1	B 0<>1	0.3
11S4	ID11	Production_forest	2020	1	1	1	0	2	0	0	0	0	0	2	0	1	1	1	0	0	1	1	0	0	0	1	1	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	16	6	13	539	54.0	44.8	0.0	92.4	37.8	0.8	116.6	28	23	D3<>9	7.3
11S5	ID11	Production_forest	2020	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	3	0	0	0	1	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	11	575	14.2	85.7	0.0	37.4	29.2	0.6	79.4	0	0	A=0	0.0
11Z	ID11	Production_forest	2020	0	0	1	0	2	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	6	575	8.6	89.8	0.0	28.3	32.9	0.6	52.9	3	0	A=0	0.0
12B	ID12	Production_forest	2020	0	0	2	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	2	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5	8	464	8.6	90.3	0.0	64.8	18.1	0.4	107.9	7	6	C1<>3	1.9
12C	ID12	Production_forest	2020	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	8	447	10.4	73.3	0.0	81.0	16.7	0.5	56.4	0	0	A=0	0.0
12D	ID12	Production_forest	2020	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	7	449	9.7	90.2	0.0	67.6	12.7	0.5	183.3	1	1	B 0<>1	0.3
12M	ID12	Production_forest	2020	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	5	471	0.0	99.2	0.0	68.1	17.7	0.1	131.8	0	0	A=0	0.0
12M1	ID12	Production_forest	2020	0	0	0	1	1	2	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	5	473	0.0	88.3	0.0	76.3	25.8	0.0	40.7	0	0	A=0	0.0
12S1	ID12	Production_forest	2020	1	0	1	0	2	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	3	9	464	32.2	62.1	0.0	76.0	8.5	0.4	56.3	24	11	D3<>9	3.5
12S2	ID12	Production_forest	2020	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	2	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	10	451	40.5	57.0	0.0	74.0	17.2	0.7	99.9	6	3	B 0<>1	1.0
12S4	ID12	Production_forest	2020	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	8	458	6.9	90.0	0.8	73.1	19.9	0.2	83.3	6	0	A=0	0.0
12S5	ID12	Production_forest	2020	0	0	1	0	1	0	1	1	0	1	1	0	2	1	1	0	0	1	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	4	12	455	47.8	44.9	0.0	59.2	33.2	0.2	61.3	1	1	B 0<>1	0.3
12Z	ID12	Production_forest	2020	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	8	442	4.3	90.1	0.0	42.6	23.8	0.5	38.5	0	0	A=0	0.0
13A	ID13	Production_forest	2020	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	2	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	7	750	30.2	69.7	0.0	81.0	49.5	0.7	100.0	12	9	C1<>3	2.9
13B	ID13	Production_forest	2020	0	0	1	0	1	0	0	0	0	1	0	0	2	0	1	0	0	2	2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	11	742	30.1	52.5	0.0	74.6	28.1	0.5	35.9	15	15	D3<>9	4.8
13C	ID13	Production_forest	2020	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	5	727	8.5	84.0	0.0	104.5	35.1	0.5	68.4	18	3	B 0<>1	1.0
13D	ID13	Production_forest	2020	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	1	1	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	6	775	0.8	99.1	0.0	93.1	29.4	0.0	251.4	3	1	B 0<>1	0.3
13M	ID13	Production_forest	2020	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	6	740	0.0	99.9	0.0	94.3	4.9	0.2	106.9	1	0	A=0	0.0
13M1	ID13	Production_forest	2020	0	0	2	0	1	2	0	0	0	0	0	1	0	1	1	0	0	4	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	11	734	0.0	99.9	0.0	84.3	7.1	0.1	148.2	0	0	A=0	0.0
13S1	ID13	Production_forest	2020	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	5	736	4.4	93.4	0.0	84.6	16.3	0.1	43.7	20	2	B 0<>1	0.6
13S2	ID13	Production_forest	2020	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	7	742	10.0	83.8	0.0	89.0	0.0	0.3	20.5	10	6	C1<>3	1.9
13S3	ID13	Production_forest	2020	0	0	1	0	2	2	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	7	731	5.1	94.8	0.0	77.3	24.3	0.1	115.9	3	3	B 0<>1	1.0
13S4	ID13	Production_forest	2020	0	0	0	0	1	2	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	7	724	0.0	97.8	0.0	93.2	17.9	0.1	87.0	45	1	B 0<>1	0.3
13S5	ID13	Production_forest	2020	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	5	740	0.1	99.8	0.0	90.4	4.9	0.2	230.3	1	1	B 0<>1	0.3
13Z	ID13	Production_forest	2020	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	3	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	9	753	7.7	71.6	4.7	78.1	31.0	0.7	51.8	4	0	A=0	0.0
14A	ID14	Production_forest	2020	1	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	2	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	11	837	1.8	81.9	0.0	74.7	21.9	0.3	58.8	10	5	C1<>3	1.6
14B	ID14	Production_forest	2020	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	6	888	0.7	81.0	13.0	89.4	33.7	0.1	58.6	8	2	B 0<>1	0.6
14C	ID14	Production_forest	2020	0	0	0	0	2	0	0	0	0	1	0	0	0	1	2	0	0	0	2	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	7	779	4.3	95.6	0.0	70.0	24.6	0.2	116.3	1	1	B 0<>1	0.3
14D	ID14	Production_forest	2020	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	0	0	0	2	1	0	0	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	8	845	7.1	92.0	0.0	82.3	39.5	0.4	107.5	15	1	B 0<>1	0.3
14M	ID14	Production_forest	2020	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	6	947	0.0	94.3	0.0	123.0	7.8	0.0	62.2	0	0	A=0	0.0
14M1	ID14	Production_forest	2020	0	0	0	0	1	1	0	0	0	0	0	0	0	1	2	0	0	0	2	1	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	5	921	5.9	92.2	1.7	120.1	44.7	0.3	110.0	0	0	A=0	0.0
14S1	ID14	Production_forest	2020	0	0	1	0	1	0	0	0	0	2	0	0	1	1	1	0	2	0	2	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	6	9	911	0.4	72.6	0.0	59.7	11.3	0.5	30.0	1	1	B 0<>1	0.3
14S2	ID14	Production_forest	2020	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	6	871	0.0	99.9	0.0	125.7	49.7	0.0	143.4	27	0	A=0	0.0
14S3	ID14	Production_forest	2020	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	6	939	13.5	72.9	13.5	132.9	55.8	0.2	118.9	31	0	A=0	0.0
14S4	ID14	Production_forest	2020	0	0	1	0	2	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5	8	830	0.0	98.5	0.0	98.9	46.3	0.0	16.4	14	0	A=0	0.0
14Z	ID14	Production_forest	2020	0	0	1	0	2	0	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	7	879	20.7	72.7	0.0	78.5	54.7	0.5	54.7	6	0	A=0	0.0
16B	ID16	Production_forest	2020	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	7	603	8.0	91.1	0.0	77.6	24.2	0.0	217.6	7	7	C1<>3	2.2
16C	ID16	Production_forest	2020	0	0	0	0	2	0	0	0	0	2	0	1	0	1	1	0	1	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	7	633	6.1	93.8	0.0	85.3	35.7	0.0	112.0	10	8	C1<>3	2.5
16D	ID16	Production_forest	2020	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	1	1	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	6	603	22.8	77.1	0.0	94.0	0.0	0.0	167.8	5	2	B 0<>1	0.6
16M	ID16	Production_forest	2020	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	5	557	1.8	96.5	0.0	88.0	1.4	0.0	88.7	1	0	A=0	0.0
16M1	ID16	Production_forest	2020	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	3	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	9	653	0.0	99.9	0.0	93.4	40.5	0.2	105.6	0	0	A=0	0.0
16S1	ID16	Production_forest	2020	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	4	631	17.8	82.0	0.0	84.8	7.1	0.7	420.3	2	0	A=0	0.0
16S3	ID16	Production_forest	2020	0	0	1	0	1	0	0	0	0	1	0	1	0	1	1	0	2	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	7	6	570	1.5	91.9	0.0	79.9	23.9	0.0	70.2	5	4	C1<>3	1.3
16S4	ID16	Production_forest	2020	0	0	0	0	1	0	0	0	0	0	2	0	1	1	2	0	1	1	3	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	10	697	27.8	72.0	0.0	73.2	38.8	0.9	183.4	14	14	D3<>9	4.5
16S5	ID16	Production_forest	2020	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	3	6	687	15.0	81.7	0.0	46.3	51.1	0.2	301.0	3	3	B 0<>1	1.0
17A	ID17	Production_forest	2020	1	0	0	0	3	2	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	7	9	524	7.0	92.8	0.0	93.9	22.6	1.1	132.6	7	6	C1<>3	1.9
17B	ID17	Production_forest	2020	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	2	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	7	525	19.4	80.5	0.0	67.2	19.3	0.9	153.2	3	3	B 0<>1	1.0
17C	ID17	Production_forest	2020	1	0	1	0	2	0	1	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	9	486	12.3	77.4	0.0	77.8	31.8	1.1	14.7	10	3	B 0<>1	1.0
17D	ID17	Production_forest	2020	0	0	1	0	1	2	0	3	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	10	562	1.0	93.6	0.0	87.7	33.0	0.9	78.7	6	1	B 0<>1	0.3
17M	ID17	Production_forest	2020	1	0	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	7	532	2.0	92.5	0.0	69.7	27.5	0.7	45.2	1	1	B 0<>1	0.3
17M1	ID17	Production_forest	2020	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	1	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	8	547	0.0	98.0	1.7	80.5	13.7	0.7	170.1	8	0	A=0	0.0
17S1	ID17	Production_forest	2020	0	0	1	0	1	2	0	0	0	0	0	0	2	1	1	0	0	1	2	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	6	10	529	0.0	89.2	6.7	61.4	32.8	0.8	7.6	2	0	A=0	0.0
17S2	ID17	Production_forest	2020	0	0	0	0	2	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5	8	541	43.5	54.4	0.0	92.7	43.4	1.4	84.3	30	22	D3<>9	7.0
17S4	ID17	Production_forest	2020	0	0	0	0	3	2	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	11	7	8	509	23.0	76.9	0.0	77.6	21.2	1.0	113.4	1	0	A=0	0.0
17S5	ID17	Production_forest	2020	1	0	0	0	2	2	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	6	9	536	3.2	96.7	0.0	79.7	24.9	0.8	104.0	0	0	A=0	0.0
17Z	ID17	Production_forest	2020	0	1	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	9	566	16.1	83.8	0.0	68.7	20.7	1.0	125.5	1	0	A=0	0.0
20A	ID20	Production_forest	2020	1	0	1	0	2	0	0	1	0	0	1	0	0	1	1	0	0	0	2	1	0	0	1	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14	5	12	676	9.6	83.6	4.0	76.1	41.9	0.5	78.4	17	15	D3<>9	4.8
20B	ID20	Production_forest	2020	0	0	1	0	1	0	0	0	0	1	0	0	2	1	0	0	0	1	2	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	10	658	19.0	69.9	7.2	87.8	41.9	0.5	87.5	19	9	C1<>3	2.9
20C	ID20	Production_forest	2020	1	0	1	0	2	0	0	0	1	1	0	0	1	1	0	0	0	0	3	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	11	653	5.2	85.7	4.7	102.8	41.2	0.4	78.7	20	4	C1<>3	1.3
20D	ID20	Production_forest	2020	0	1	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	8	704	35.9	64.0	0.0	93.5	21.9	1.0	222.6	10	2	B 0<>1	0.6
20M	ID20	Production_forest	2020	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	7	699	0.1	95.3	0.0	106.5	0.0	0.2	74.1	1	0	A=0	0.0
20M1	ID20	Production_forest	2020	0	0	1	0	2	4	0	0	0	0	1	0	1	1	1	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	7	9	699	0.0	97.5	0.0	92.8	9.2	0.3	46.6	0	0	A=0	0.0
20S1	ID20	Production_forest	2020	1	0	0	0	1	0	0	0	0	0	1	0	2	0	2	0	0	0	3	1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	12	678	5.0	92.5	0.0	91.3	18.4	0.5	75.3	11	3	B 0<>1	1.0
20S4	ID20	Production_forest	2020	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	1	3	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	4	11	691	34.4	61.0	0.0	96.7	41.9	0.5	81.3	7	4	C1<>3	1.3
20S5	ID20	Production_forest	2020	0	1	0	0	2	0	0	0	0	2	1	0	2	0	1	0	0	2	2	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	4	14	642	25.7	72.9	0.0	117.6	17.7	0.9	111.6	18	8	C1<>3	2.5
20S2	ID20	Production_forest	2020	0	0	2	0	2	0	0	0	0	0	1	0	1	1	1	0	0	1	2	0	0	0	1	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	14	696	19.6	69.2	0.0	96.0	49.1	0.6	32.2	18	7	C1<>3	2.2
20S3	ID20	Production_forest	2020	0	0	1	0	1	0	0	0	1	0	0	1	2	0	1	0	0	1	3	0	0	0	1	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	5	12	673	0.0	91.1	0.0	76.3	18.6	0.6	23.6	13	0	A=0	0.0
20Z	ID20	Production_forest	2020	2	1	0	0	1	0	0	1	0	0	2	0	2	1	0	0	0	0	3	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	13	693	22.8	77.1	0.0	91.5	9.1	0.8	196.5	2	1	B 0<>1	0.3
15C	ID15	Production_forest	2019	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	3	0	0	0	1	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	9	528	32.9	67.0	0.0	69.4	20.6	0.8	159.0	4	3	B 0<>1	1.0
15D	ID15	Production_forest	2019	1	0	1	0	2	0	0	0	0	1	1	0	1	1	2	0	0	1	3	0	0	0	1	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	5	15	569	23.3	59.6	14.2	72.5	43.4	0.9	80.5	48	3	B 0<>1	1.0
15M	ID15	Production_forest	2019	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	1	3	0	0	0	2	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	11	4	11	518	0.0	98.6	1.3	66.1	25.7	0.7	120.1	1	0	A=0	0.0
15M2	ID15	Production_forest	2019	1	0	0	0	2	0	0	0	0	1	0	0	0	1	2	0	2	0	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	8	520	28.1	71.7	0.0	66.1	16.6	1.1	106.3	0	0	A=0	0.0
15R	ID15	Forest_reserve	2019	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	2	0	1	0	0	1	1	1	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	15	7	10	607	NA	NA	NA	NA	NA	NA	NA	NA	23	R	23.0
